entity_id,state,last_changed,local_ts,hour,night_date
sensor.lounge_airq_pm_10,2,2025-05-14 02:17:15.168000+00:00,2025-05-14 05:17:15.168000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 02:18:15.187000+00:00,2025-05-14 05:18:15.187000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:19:15.166000+00:00,2025-05-14 05:19:15.166000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:20:15.166000+00:00,2025-05-14 05:20:15.166000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:21:15.166000+00:00,2025-05-14 05:21:15.166000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:22:15.163000+00:00,2025-05-14 05:22:15.163000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 02:23:15.166000+00:00,2025-05-14 05:23:15.166000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 02:24:15.164000+00:00,2025-05-14 05:24:15.164000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:25:15.163000+00:00,2025-05-14 05:25:15.163000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:26:15.164000+00:00,2025-05-14 05:26:15.164000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 02:27:15.162000+00:00,2025-05-14 05:27:15.162000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 02:28:15.160000+00:00,2025-05-14 05:28:15.160000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:30:15.161000+00:00,2025-05-14 05:30:15.161000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:31:15.161000+00:00,2025-05-14 05:31:15.161000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:32:15.157000+00:00,2025-05-14 05:32:15.157000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:33:15.157000+00:00,2025-05-14 05:33:15.157000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 02:34:15.157000+00:00,2025-05-14 05:34:15.157000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:35:15.158000+00:00,2025-05-14 05:35:15.158000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:36:15.158000+00:00,2025-05-14 05:36:15.158000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:37:15.155000+00:00,2025-05-14 05:37:15.155000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:38:15.155000+00:00,2025-05-14 05:38:15.155000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:40:15.155000+00:00,2025-05-14 05:40:15.155000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:41:15.153000+00:00,2025-05-14 05:41:15.153000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:42:15.153000+00:00,2025-05-14 05:42:15.153000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 02:43:15.156000+00:00,2025-05-14 05:43:15.156000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:44:15.153000+00:00,2025-05-14 05:44:15.153000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:45:15.153000+00:00,2025-05-14 05:45:15.153000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:46:15.151000+00:00,2025-05-14 05:46:15.151000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:47:15.148000+00:00,2025-05-14 05:47:15.148000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:48:15.153000+00:00,2025-05-14 05:48:15.153000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:49:15.151000+00:00,2025-05-14 05:49:15.151000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 02:50:15.150000+00:00,2025-05-14 05:50:15.150000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:51:15.148000+00:00,2025-05-14 05:51:15.148000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:52:15.150000+00:00,2025-05-14 05:52:15.150000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 02:53:15.148000+00:00,2025-05-14 05:53:15.148000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 02:54:15.145000+00:00,2025-05-14 05:54:15.145000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:55:15.148000+00:00,2025-05-14 05:55:15.148000+03:00,5,2025-05-13
